Name in BikeCAD Files,Name in BIKED,Relevant Portion of Bike,Include in Sim Engine,,
Head tube upper extension2,upper head tube ext,,maybe,,
Seat tube extension2,seat tube ext,,maybe,,
Head tube lower extension2,lower head tube ext,,maybe,,
Wheel width rear,Rear wheel width,,maybe,FDERD,Front diam minus ERD
Wheel width front,Front wheel width,,maybe,,
Head tube type,Head tube type,,maybe,,
BB length,BB shell length,,maybe,,
Head tube diameter,Head tube diam,,maybe,,
Wheel cut,Seat tube wheel cut,,maybe,,
BB diameter,BB diameter,,maybe,,
Seat tube diameter,Seat tube diam,,maybe,,
Top tube type,Top tube type,,maybe,,
CHAINSTAYbrdgdia1,Chain Stay Bridge Diameter,,maybe,,
CHAINSTAYbrdgshift,Chain stay bridge to rear axle,,maybe,,
SEATSTAYbrdgdia1,seat stay bridge diam,,maybe,,
SEATSTAYbrdgshift,seat stay bridge to rear axle,,maybe,,
bottle SEATTUBE0 show,Seattube bottle?,,maybe,,
bottle DOWNTUBE0 show,Downtube bottle?,,maybe,,
Front Fender include,front fender?,,maybe,,
Rear Fender include,rear fender?,,maybe,,
Display RACK,racks?,others,maybe,,
BB textfield,BB drop,Frame,yes,,
Seat tube length,seat tube length c-t,,yes,,
Stack,stack,,yes,,
Seat angle,seat angle,,yes,,
CS textfield,chain stay length,,yes,,
FCD textfield,front center distance,,yes,,
Head angle,head angle,,yes,,
Saddle height,saddle height,,yes,,
Head tube length textfield,Head tube length,,yes,,
ERD rear,Rear ERD,Wheels,yes,RDERD,Rear diam minus ERD
Dropout spacing style,MTB/Road/Track,,yes,,
BSD front,Front BSD,,yes,,
ERD front,Front ERD,,yes,,
BSD rear,Rear BSD,,yes,,
Fork type,Fork Type,,yes,,
Stem kind,Type of stem,,yes,,
Display AEROBARS,Aerobars?,,yes,,
Handlebar style,Handlebar style,,yes,,
CHAINSTAYbrdgCheck,Chain stay bridge?,,yes,,
SEATSTAYbrdgCheck,Seat stay bridge?,,yes,,
Display WATERBOTTLES,Waterbottles?,,yes,,
BELTorCHAIN,Chain?,,yes,,
Number of cogs,# cogs,,yes,,
Number of chainrings,# chainrings,,yes,,
BIKESTYLE,Bike Style,Class labels,,,
Dropout spacing,Rear Dropout Spacing,,,RDBSD,Rear diam minus BSD
SPOKES composite front,Number of composite spokes front,,,FDBSD,Front diam minus BSD
SPOKES front,Number of normal spokes front,,,,
Wheel diameter front,Front Diam,,,,
RIM_STYLE front,Spokes/Trispoke/Disc Front,,,,
SAME_SIZED_FRONT_AND_REAR,Front and back same?,,,,
RIM_STYLE rear,Spokes/Trispoke/Disc Rear,,,,
Wheel diameter rear,Rear Diam,,,,
SPOKES rear,Number of normal spokes rear,,,,
SPOKES composite rear,Number of composite spokes rear,,,,
SBLADEW front,Trispoke spoke thickness front,,,,
SBLADEW rear,Trispoke spoke thickness rear,,,,
FORK0R,Fork R,Fork,,,
FORK0L,Fork L,,,,
Saddle P,Saddle mount to center (P),Saddle,,,
Saddle thickness,Saddle Thickness (Q),,,,
Saddle angle,Saddle angle,,,,
Saddle J,Saddle J,,,,
Saddle H,Saddle H,,,,
Saddle E,Saddle E,,,,
SADDLETIPtoMIDDLE,Saddle A,,,,
Saddle length,Saddle L,,,,
Seatpost setback,Seatpost setback,Seatpost,,,
Seatpost LENGTH,Seatpost length,,,,
Lower stack height,Lower Stack Height,Headset,,,
HEADSETprofile,Headset type,,,,
Upper stack height,upper stack height,,,,
Headset spacers,Headset spacers,,,,
Stem angle,Stem angle,Stem,,,
CLAMPOFFSET,Stem H,,,,
StemX,Stem X,,,,
StemY,Stem Y,,,,
StemG,Stem G,,,,
Collar height,Stem E,,,,
Stem length,Stem L,,,,
AEROF,Aerobars F,Aerobars,,,
Hand horizontal,Aerobars HX,,,,
Aerobar style,Aerobar type,,,,
Pad vertical,Aerobars PY,,,,
Hand vertical,Aerobars HY,,,,
HBARRISE,Drop bar Y,Handlebars,,,
MtnBar angle,mt bar angle,,,,
Mountain bar sweep,MT bar A,,,,
MTNDROP,MT bar C,,,,
HBARTHETA,Drop bar Theta,,,,
Mountain bar rise,MT Bar B,,,,
Handlebar angle,Drop bar angle,,,,
Bullhorn reach,Bullhorn A,,,,
BULLTHETA,Bullhorn Theta,,,,
Road bar reach,Drop bar A,,,,
BULLRADIUS2,Bullhorn R2,,,,
Road bar drop,Drop bar B,,,,
Brake lever position,Brake Lever Position,,,,
Brake lever brand,Brake Lever Brand,,,,
Bullhorn drop,Bullhorn B,,,,
Bullhorn rise,Bullhorn C,,,,
Bullhorn risy,Bullhorn Y,,,,
Bullhorn angle,Bullhorn angle,,,,
HBAREXTEND,Drop bar C,,,,
HBARRAD1,Drop bar R1,,,,
HBARRAD2,Drop bar R2,,,,
TRACK_ERGO,Track handle? (vs Ergo),,,,
Down tube front diameter,Down Tube J,Tubes,,,
Down tube rear dia2,Down Tube H,,,,
Down tube front dia2,Down Tube K,,,,
Down tube rear diameter,Down Tube G,,,,
Seat tube leading edge textfield,Seat tube aero leading edge offset,,,,
Seat tube chord length textfield,Seat tube chord length,,,,
Top tube rear diameter,Top Tube G,,,,
Down tube leading edge,Down tube aero leading edge offset,,,,
DOWNTUBE Wheel cut,Downtube aero wheel cut,,,,
Down tube aero diameter,Down tube aero chord length,,,,
Top tube rear dia2,Top Tube H,,,,
Top tube front dia2,Top tube K,,,,
Head tube chord,head tube aero chord length,,,,
Seat tube type,seat tube type,,,,
OFFSET_AT_BB st,Seat tube offset from BB,,,,
Top tube front diameter,Top Tube J,,,,
Head tube d,Head tube d,,,,
Head tube B,Head tube B,,,,
Head tube E,Head tube E,,,,
Head tube D,Head tube D,,,,
OFFSET_AT_BB dt,Down tube BB offset,,,,
Wall thickness Top tube,Top tube wall thickness,,,,
Wall thickness Seat stay,Seat stay wall thickness,,,,
Wall thickness Seat tube,Seat tube wall thickness,,,,
Wall thickness Chain stay,Chain stay wall thickness,,,,
Wall thickness Down tube,Down tube wall thickness,,,,
Wall thickness Stem,Stem wall thickness,,,,
CHAINSTAYOFFSET,Chain Stay E,Chainstays,,nCHAINSTAYOFFSET,
CHAINSTAYAUXrearDIAMETER,Chain Stay HR,,,nCHAINSTAYAUXrearDIAMETER,
Chain stay horizontal diameter,Chain Stay HF,,,nChain stay horizontal diameter,
Chain stay position on BB,Chain Stay F,,,nChain stay position on BB,
Chain stay taper,Chain Stay T,,,nChain stay taper,
Chain stay back diameter,Chain Stay VR,,,nChain stay back diameter,
Chain stay vertical diameter,Chain Stay VF,,,nChain stay vertical diameter,
Seat stay junction0,Seat Stay E,SeatStays,,nSeat stay junction0,
Seat stay bottom diameter,Seat Stay VR,,,nSeat stay bottom diameter,
SEATSTAY_HF,Seat Stay HF,,,nSEATSTAY_HF,
SSTopZOFFSET,Seat Stay Z,,,nSSTopZOFFSET,
SEATSTAY_HR,Seat Stay HR,,,nSEATSTAY_HR,
SEATSTAYTAPERLENGTH,Seat Stay T,,,nSEATSTAYTAPERLENGTH,
bottle SEATTUBE0 WBX,Bottle to mount axial offset seattube,Bottles,,,
bottle SEATTUBE0 WBY,Bottle to mount perpendicular offset seattube,,,,
bottle SEATTUBE0 CAGE,bottle holder type seat tube,,,,
bottle DOWNTUBE0 X,Bottle holder position downtube,,,,
bottle DOWNTUBE0 CAGE,bottle holder type down tube,,,,
bottle DOWNTUBE0 WBY,Bottle to mount perpendicular offset downtubetube,,,,
bottle DOWNTUBE0 WBX,Bottle to mount axial offset downtube,,,,
bottle SEATTUBE0 X,Bottle holder position seattube,,,,
Front Fender clearance,front fender clearance,fenders,,,
Front fender end angle,front fender end angle,,,,
Rear fender end angle,rear fender end angle,,,,
Fender clearance,rear fender clearance,,,,
Rear fender start angle,rear fender start angle,,,,
Front fender start angle,front fender start angle,,,,
FDDIST,Front Derailleur D,Drivetrain,,,
SPIDER_DIAMETER,Spider Diamter (DT S),,,,
Crank length,Crank Length (DT A),,,,
Crank Q factor,Crank Q,,,,
PEDAL_LENGTH,Pedal L,,,,
Teeth on cog 2,Teeth on cog 2,,,,
Teeth on cog 3,Teeth on cog 3,,,,
Teeth on cog 4,Teeth on cog 4,,,,
Teeth on cog 5,Teeth on cog 5,,,,
Teeth on cog 6,Teeth on cog 6,,,,
Teeth on cog 7,Teeth on cog 7,,,,
Teeth on cog 8,Teeth on cog 8,,,,
Teeth on cog 9,Teeth on cog 9,,,,
MOUNT_TYPE,Derailleur Mount type,,,,
Pedal width,Pedal W,,,,
Teeth on cog 10,Teeth on cog 10,,,,
Teeth on chainring 0,Teeth on chainring 0,,,,
Teeth on chainring 1,Teeth on chainring 1,,,,
Teeth on chainring 2,Teeth on chainring 2,,,,
CassZ,Sprockets Z,,,,
CassT,Sprockets T,,,,
CassA,Sprockets A,,,,
BRAZEonFDTYPE,Braze on front derailleur type,,,,
Teeth on cog 11,Teeth on cog 11,,,,
DIRECTMOUNTFDTYPE,Direct mount front derailleur type,,,,
CLAMPFDTYPE,Clamped front derailleur type,,,,
,,,,,
spc type,seatpost clamp type,,,,
,,,,,
DERAILLEUR_HANGER,Derailleur Hanger?,dropouts,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,brakes,,,
